CybORG v2.1, Scenario2, Commit Hash: 9421c8e985627810c5cac2abf0bcb62dfa6749fc
author: MJones, team: MJones, technique: MJones
wrappers: ChallengeWrapper(env=env, agent_name='Blue')
steps: 30, adversary: B_lineAgent, mean: -168.37399999999997, standard deviation 72.81208915607849
actions: [('DecoyHarakaSMPT Op_Host1', 'DiscoverRemoteSystems 10.0.99.112/28'), ('DecoyVsftpd Defender', 'DiscoverNetworkServices 10.0.99.124'), ('DecoyHarakaSMPT User0', 'ExploitRemoteService 10.0.99.124'), ('DecoyApache Enterprise2', 'PrivilegeEscalate User2'), ('DecoyTomcat Op_Host0', 'DiscoverNetworkServices 10.0.12.221'), ('DecoySSHD User3', 'ExploitRemoteService 10.0.12.221'), ('DecoyVsftpd Op_Server0', 'PrivilegeEscalate Enterprise1'), ('DecoySvchost User1', 'DiscoverRemoteSystems 10.0.12.208/28'), ('DecoyHarakaSMPT User0', 'DiscoverNetworkServices 10.0.12.211'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.12.211'), ('DecoyTomcat Op_Host2', 'PrivilegeEscalate Enterprise2'), ('DecoyTomcat Op_Host0', 'DiscoverNetworkServices 10.0.106.51'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.106.51'), ('Analyse Defender', 'PrivilegeEscalate Op_Server0'), ('Restore Enterprise1', 'Impact Op_Server0'), ('Analyse Op_Host1', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('Restore User2', 'Impact Op_Server0'), ('DecoyApache Enterprise2', 'Impact Op_Server0'), ('DecoySSHD User1', 'Impact Op_Server0'), ('DecoyVsftpd Op_Server0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('DecoyVsftpd Op_Host2', 'Impact Op_Server0'), ('DecoySSHD Op_Host0', 'Impact Op_Server0'), ('DecoyHarakaSMPT Op_Server0', 'Impact Op_Server0'), ('DecoyHarakaSMPT User2', 'Impact Op_Server0'), ('DecoySmss User4', 'Impact Op_Server0'), ('DecoySmss Enterprise1', 'Impact Op_Server0'), ('DecoySvchost User1', 'Impact Op_Server0'), ('DecoyVsftpd User4', 'Impact Op_Server0')], total reward: -208.5
actions: [('Restore Op_Host0', 'DiscoverRemoteSystems 10.0.148.32/28'), ('DecoySvchost Op_Host2', 'DiscoverNetworkServices 10.0.148.39'), ('DecoyHarakaSMPT Op_Host1', 'ExploitRemoteService 10.0.148.39'), ('Restore User2', 'PrivilegeEscalate User4'), ('Remove User2', 'DiscoverNetworkServices 10.0.194.146'), ('DecoyVsftpd Enterprise0', 'ExploitRemoteService 10.0.194.146'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise0'), ('DecoyVsftpd Op_Server0', 'DiscoverRemoteSystems 10.0.194.144/28'), ('DecoySvchost Op_Host1', 'DiscoverNetworkServices 10.0.194.147'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.194.147'), ('Analyse Enterprise2', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.228.250'), ('DecoyFemitter Op_Server0', 'ExploitRemoteService 10.0.228.250'), ('DecoySvchost User3', 'ExploitRemoteService 10.0.194.147'), ('DecoyFemitter User1', 'PrivilegeEscalate Enterprise2'), ('DecoyHarakaSMPT Op_Server0', 'DiscoverNetworkServices 10.0.228.250'), ('Analyse Op_Server0', 'ExploitRemoteService 10.0.228.250'), ('DecoySvchost Enterprise1', 'ExploitRemoteService 10.0.194.147'), ('DecoyVsftpd Defender', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Enterprise1', 'DiscoverNetworkServices 10.0.228.250'), ('DecoySvchost User1', 'ExploitRemoteService 10.0.228.250'), ('DecoyVsftpd User3', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('Remove User0', 'Impact Op_Server0'), ('DecoySvchost User0', 'Impact Op_Server0'), ('DecoySvchost Op_Host1', 'Impact Op_Server0'), ('DecoySmss Op_Server0', 'Impact Op_Server0'), ('DecoySvchost Op_Host0', 'Impact Op_Server0'), ('DecoyHarakaSMPT Defender', 'Impact Op_Server0'), ('DecoySSHD Enterprise1', 'Impact Op_Server0')], total reward: -138.79999999999998
actions: [('DecoyApache Enterprise2', 'DiscoverRemoteSystems 10.0.167.16/28'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.167.25'), ('DecoyFemitter Op_Host0', 'ExploitRemoteService 10.0.167.25'), ('DecoyVsftpd Op_Host1', 'PrivilegeEscalate User2'), ('DecoyTomcat Enterprise1', 'DiscoverNetworkServices 10.0.139.37'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.139.37'), ('DecoySmss User0', 'PrivilegeEscalate Enterprise1'), ('DecoySmss User0', 'DiscoverRemoteSystems 10.0.139.32/28'), ('DecoyFemitter User2', 'DiscoverNetworkServices 10.0.139.35'), ('DecoyFemitter User3', 'ExploitRemoteService 10.0.139.35'), ('DecoySmss Op_Host0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache Op_Server0', 'DiscoverNetworkServices 10.0.218.183'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.218.183'), ('DecoyVsftpd Enterprise0', 'ExploitRemoteService 10.0.139.35'), ('DecoySvchost User3', 'PrivilegeEscalate Enterprise2'), ('DecoySmss Op_Server0', 'DiscoverNetworkServices 10.0.218.183'), ('Analyse User0', 'ExploitRemoteService 10.0.218.183'), ('Analyse User1', 'ExploitRemoteService 10.0.139.35'), ('Remove Op_Server0', 'PrivilegeEscalate Enterprise2'), ('DecoyApache User3', 'DiscoverNetworkServices 10.0.218.183'), ('DecoyTomcat User1', 'ExploitRemoteService 10.0.218.183'), ('DecoySSHD User2', 'PrivilegeEscalate Op_Server0'), ('DecoyFemitter Enterprise0', 'Impact Op_Server0'), ('DecoyFemitter User0', 'Impact Op_Server0'), ('Restore Defender', 'Impact Op_Server0'), ('DecoyApache Enterprise1', 'Impact Op_Server0'), ('DecoyTomcat User4', 'Impact Op_Server0'), ('DecoySvchost Op_Host0', 'Impact Op_Server0'), ('DecoyHarakaSMPT Enterprise1', 'Impact Op_Server0'), ('DecoyHarakaSMPT User3', 'Impact Op_Server0')], total reward: -136.7
actions: [('Remove Enterprise2', 'DiscoverRemoteSystems 10.0.12.160/28'), ('DecoyTomcat User3', 'DiscoverNetworkServices 10.0.12.174'), ('DecoySmss Enterprise2', 'ExploitRemoteService 10.0.12.174'), ('DecoyApache Enterprise1', 'PrivilegeEscalate User2'), ('DecoySSHD User2', 'DiscoverNetworkServices 10.0.148.76'), ('Restore User2', 'ExploitRemoteService 10.0.148.76'), ('DecoyFemitter User1', 'PrivilegeEscalate Enterprise1'), ('DecoySvchost Op_Host0', 'DiscoverRemoteSystems 10.0.148.64/28'), ('Restore Enterprise2', 'DiscoverNetworkServices 10.0.148.65'), ('Remove Op_Host1', 'ExploitRemoteService 10.0.148.65'), ('DecoyApache User4', 'PrivilegeEscalate Enterprise2'), ('DecoyHarakaSMPT Op_Host0', 'DiscoverNetworkServices 10.0.162.21'), ('DecoyHarakaSMPT User4', 'ExploitRemoteService 10.0.162.21'), ('DecoyHarakaSMPT Enterprise0', 'PrivilegeEscalate Op_Server0'), ('DecoySvchost Enterprise0', 'Impact Op_Server0'), ('DecoyVsftpd User2', 'Impact Op_Server0'), ('Restore User0', 'Impact Op_Server0'), ('DecoyFemitter User2', 'Impact Op_Server0'), ('DecoySSHD Op_Host1', 'Impact Op_Server0'), ('Restore Enterprise1', 'Impact Op_Server0'), ('Restore User4', 'Impact Op_Server0'), ('DecoyTomcat Enterprise1', 'Impact Op_Server0'), ('DecoySvchost User4', 'Impact Op_Server0'), ('Analyse User4', 'Impact Op_Server0'), ('DecoyVsftpd User2', 'Impact Op_Server0'), ('DecoyHarakaSMPT Op_Host0', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('DecoySvchost Enterprise1', 'Impact Op_Server0'), ('DecoySvchost User4', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0')], total reward: -215.3
actions: [('DecoyVsftpd User4', 'DiscoverRemoteSystems 10.0.73.224/28'), ('DecoyApache Op_Host2', 'DiscoverNetworkServices 10.0.73.233'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.73.233'), ('DecoySvchost Op_Server0', 'PrivilegeEscalate User4'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.17.110'), ('DecoySSHD User2', 'ExploitRemoteService 10.0.17.110'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise0'), ('DecoyVsftpd User2', 'DiscoverRemoteSystems 10.0.17.96/28'), ('DecoySmss User1', 'DiscoverNetworkServices 10.0.17.99'), ('DecoyApache Op_Server0', 'ExploitRemoteService 10.0.17.99'), ('DecoySmss User3', 'PrivilegeEscalate Enterprise2'), ('Analyse User2', 'DiscoverNetworkServices 10.0.233.158'), ('DecoyVsftpd User0', 'ExploitRemoteService 10.0.233.158'), ('Restore User0', 'ExploitRemoteService 10.0.17.99'), ('DecoySSHD User3', 'PrivilegeEscalate Enterprise2'), ('DecoySSHD Enterprise2', 'DiscoverNetworkServices 10.0.233.158'), ('DecoySSHD User2', 'ExploitRemoteService 10.0.233.158'), ('DecoyTomcat Enterprise1', 'ExploitRemoteService 10.0.17.99'), ('DecoyTomcat Op_Host0', 'PrivilegeEscalate Enterprise2'), ('DecoySvchost User4', 'DiscoverNetworkServices 10.0.233.158'), ('DecoyApache User3', 'ExploitRemoteService 10.0.233.158'), ('DecoyApache Op_Host2', 'ExploitRemoteService 10.0.17.99'), ('DecoySSHD User3', 'PrivilegeEscalate Enterprise2'), ('DecoyHarakaSMPT User3', 'DiscoverNetworkServices 10.0.233.158'), ('DecoyFemitter User4', 'ExploitRemoteService 10.0.233.158'), ('Analyse User1', 'ExploitRemoteService 10.0.17.99'), ('Sleep', 'PrivilegeEscalate Enterprise2'), ('DecoyHarakaSMPT User0', 'DiscoverNetworkServices 10.0.233.158'), ('Restore Defender', 'ExploitRemoteService 10.0.233.158'), ('DecoySSHD Defender', 'ExploitRemoteService 10.0.17.99')], total reward: -48.80000000000002
actions: [('Remove Enterprise2', 'DiscoverRemoteSystems 10.0.136.16/28'), ('DecoyApache Op_Host1', 'DiscoverNetworkServices 10.0.136.18'), ('DecoyApache User3', 'ExploitRemoteService 10.0.136.18'), ('DecoyHarakaSMPT Op_Host1', 'PrivilegeEscalate User3'), ('DecoySmss Enterprise2', 'DiscoverNetworkServices 10.0.224.170'), ('DecoyHarakaSMPT Op_Host1', 'ExploitRemoteService 10.0.224.170'), ('DecoyHarakaSMPT User2', 'PrivilegeEscalate Enterprise0'), ('DecoySmss Op_Server0', 'DiscoverRemoteSystems 10.0.224.160/28'), ('Remove Enterprise2', 'DiscoverNetworkServices 10.0.224.165'), ('Remove Enterprise2', 'ExploitRemoteService 10.0.224.165'), ('DecoyApache Op_Server0', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.234.155'), ('Remove Op_Server0', 'ExploitRemoteService 10.0.234.155'), ('DecoySSHD User2', 'ExploitRemoteService 10.0.224.165'), ('DecoySSHD User0', 'PrivilegeEscalate Enterprise2'), ('DecoySSHD Op_Host1', 'DiscoverNetworkServices 10.0.234.155'), ('Analyse User1', 'ExploitRemoteService 10.0.234.155'), ('DecoySvchost Enterprise2', 'ExploitRemoteService 10.0.224.165'), ('Analyse Op_Host1', 'PrivilegeEscalate Enterprise2'), ('Analyse Op_Host2', 'DiscoverNetworkServices 10.0.234.155'), ('DecoyApache Enterprise0', 'ExploitRemoteService 10.0.234.155'), ('DecoyApache Enterprise1', 'ExploitRemoteService 10.0.224.165'), ('DecoyApache Op_Host0', 'PrivilegeEscalate Enterprise2'), ('DecoyTomcat User1', 'DiscoverNetworkServices 10.0.234.155'), ('Analyse User0', 'ExploitRemoteService 10.0.234.155'), ('Restore User3', 'ExploitRemoteService 10.0.224.165'), ('DecoyFemitter Op_Host2', 'PrivilegeEscalate Enterprise2'), ('Sleep', 'DiscoverNetworkServices 10.0.234.155'), ('DecoySSHD User2', 'ExploitRemoteService 10.0.234.155'), ('DecoySSHD User1', 'ExploitRemoteService 10.0.224.165')], total reward: -47.30000000000001
actions: [('Restore Op_Host2', 'DiscoverRemoteSystems 10.0.153.192/28'), ('DecoySvchost Defender', 'DiscoverNetworkServices 10.0.153.205'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.153.205'), ('Remove User4', 'PrivilegeEscalate User3'), ('DecoySvchost User0', 'DiscoverNetworkServices 10.0.64.35'), ('DecoySSHD Op_Host0', 'ExploitRemoteService 10.0.64.35'), ('DecoyHarakaSMPT User0', 'PrivilegeEscalate Enterprise0'), ('DecoySmss User3', 'DiscoverRemoteSystems 10.0.64.32/28'), ('DecoyVsftpd Op_Host2', 'DiscoverNetworkServices 10.0.64.40'), ('DecoyVsftpd User2', 'ExploitRemoteService 10.0.64.40'), ('DecoySSHD User3', 'PrivilegeEscalate Enterprise2'), ('DecoyFemitter User0', 'DiscoverNetworkServices 10.0.126.132'), ('DecoyTomcat User2', 'ExploitRemoteService 10.0.126.132'), ('DecoyFemitter Op_Server0', 'PrivilegeEscalate Op_Server0'), ('DecoyHarakaSMPT Op_Host0', 'Impact Op_Server0'), ('DecoyTomcat User1', 'Impact Op_Server0'), ('DecoyTomcat Op_Host2', 'Impact Op_Server0'), ('Analyse Enterprise0', 'Impact Op_Server0'), ('Remove Enterprise1', 'Impact Op_Server0'), ('DecoySSHD Op_Host2', 'Impact Op_Server0'), ('DecoyHarakaSMPT Op_Host1', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('DecoySSHD User3', 'Impact Op_Server0'), ('DecoySvchost Defender', 'Impact Op_Server0'), ('DecoySvchost Op_Host1', 'Impact Op_Server0'), ('Restore User4', 'Impact Op_Server0'), ('Analyse Op_Server0', 'Impact Op_Server0'), ('Remove Op_Host0', 'Impact Op_Server0'), ('DecoySSHD User3', 'Impact Op_Server0'), ('DecoyTomcat User1', 'Impact Op_Server0')], total reward: -225.79999999999993
actions: [('DecoySSHD Defender', 'DiscoverRemoteSystems 10.0.62.144/28'), ('DecoySvchost User3', 'DiscoverNetworkServices 10.0.62.158'), ('DecoyFemitter Defender', 'ExploitRemoteService 10.0.62.158'), ('DecoyApache User0', 'PrivilegeEscalate User2'), ('Restore User1', 'DiscoverNetworkServices 10.0.188.234'), ('Analyse User3', 'ExploitRemoteService 10.0.188.234'), ('DecoyApache Op_Host2', 'PrivilegeEscalate Enterprise1'), ('Restore User4', 'DiscoverRemoteSystems 10.0.188.224/28'), ('DecoySvchost Defender', 'DiscoverNetworkServices 10.0.188.225'), ('DecoyTomcat User1', 'ExploitRemoteService 10.0.188.225'), ('DecoyFemitter User4', 'PrivilegeEscalate Enterprise2'), ('Analyse Defender', 'DiscoverNetworkServices 10.0.118.57'), ('DecoyVsftpd Enterprise0', 'ExploitRemoteService 10.0.118.57'), ('Restore User0', 'PrivilegeEscalate Op_Server0'), ('DecoyVsftpd Op_Host1', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('DecoyApache Op_Server0', 'Impact Op_Server0'), ('DecoySSHD User4', 'Impact Op_Server0'), ('DecoyTomcat Enterprise0', 'Impact Op_Server0'), ('DecoySvchost Defender', 'Impact Op_Server0'), ('DecoyHarakaSMPT User1', 'Impact Op_Server0'), ('Restore User1', 'Impact Op_Server0'), ('DecoyHarakaSMPT Defender', 'Impact Op_Server0'), ('DecoySmss User0', 'Impact Op_Server0'), ('DecoyFemitter Enterprise2', 'Impact Op_Server0'), ('DecoySvchost User2', 'Impact Op_Server0'), ('DecoySmss Op_Host2', 'Impact Op_Server0'), ('DecoyFemitter Enterprise1', 'Impact Op_Server0'), ('DecoyHarakaSMPT Defender', 'Impact Op_Server0'), ('DecoySSHD Defender', 'Impact Op_Server0')], total reward: -227.79999999999993
actions: [('DecoySmss Enterprise0', 'DiscoverRemoteSystems 10.0.251.96/28'), ('Analyse Enterprise2', 'DiscoverNetworkServices 10.0.251.98'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.251.98'), ('DecoySvchost Enterprise1', 'PrivilegeEscalate User3'), ('DecoyVsftpd User4', 'DiscoverNetworkServices 10.0.214.198'), ('DecoyApache Op_Host1', 'ExploitRemoteService 10.0.214.198'), ('DecoyHarakaSMPT Op_Server0', 'PrivilegeEscalate Enterprise0'), ('Remove User1', 'DiscoverRemoteSystems 10.0.214.192/28'), ('DecoyFemitter Enterprise2', 'DiscoverNetworkServices 10.0.214.204'), ('Analyse Op_Host2', 'ExploitRemoteService 10.0.214.204'), ('Analyse Defender', 'ExploitRemoteService 10.0.214.198'), ('Restore Op_Server0', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter User1', 'DiscoverRemoteSystems 10.0.214.192/28'), ('Analyse User3', 'DiscoverNetworkServices 10.0.214.204'), ('DecoySmss User3', 'ExploitRemoteService 10.0.214.204'), ('DecoyVsftpd Op_Host0', 'ExploitRemoteService 10.0.214.198'), ('Analyse Enterprise0', 'PrivilegeEscalate Enterprise0'), ('DecoyVsftpd Op_Host2', 'DiscoverRemoteSystems 10.0.214.192/28'), ('DecoyTomcat Enterprise0', 'DiscoverNetworkServices 10.0.214.204'), ('DecoyFemitter Op_Host1', 'ExploitRemoteService 10.0.214.204'), ('DecoyApache Enterprise2', 'ExploitRemoteService 10.0.214.198'), ('DecoySvchost Defender', 'PrivilegeEscalate Enterprise0'), ('DecoyTomcat Defender', 'DiscoverRemoteSystems 10.0.214.192/28'), ('DecoyVsftpd Enterprise1', 'DiscoverNetworkServices 10.0.214.204'), ('DecoySvchost Op_Host1', 'ExploitRemoteService 10.0.214.204'), ('DecoySvchost Enterprise1', 'ExploitRemoteService 10.0.214.198'), ('DecoyApache Op_Host1', 'PrivilegeEscalate Enterprise0'), ('DecoySmss Op_Server0', 'DiscoverRemoteSystems 10.0.214.192/28'), ('Remove User3', 'DiscoverNetworkServices 10.0.214.204'), ('DecoyFemitter Op_Host2', 'ExploitRemoteService 10.0.214.204')], total reward: -27.700000000000014
actions: [('DecoySSHD Op_Server0', 'DiscoverRemoteSystems 10.0.240.160/28'), ('DecoyTomcat User2', 'DiscoverNetworkServices 10.0.240.163'), ('DecoyFemitter Enterprise0', 'ExploitRemoteService 10.0.240.163'), ('DecoySmss User1', 'PrivilegeEscalate User4'), ('DecoyTomcat User4', 'DiscoverNetworkServices 10.0.101.213'), ('Analyse Enterprise0', 'ExploitRemoteService 10.0.101.213'), ('DecoyHarakaSMPT Op_Host0', 'PrivilegeEscalate Enterprise0'), ('Analyse Enterprise0', 'DiscoverRemoteSystems 10.0.101.208/28'), ('DecoyFemitter Enterprise1', 'DiscoverNetworkServices 10.0.101.219'), ('DecoyHarakaSMPT Enterprise2', 'ExploitRemoteService 10.0.101.219'), ('Remove Op_Server0', 'PrivilegeEscalate Enterprise2'), ('DecoySvchost Enterprise0', 'DiscoverNetworkServices 10.0.35.124'), ('DecoyFemitter User1', 'ExploitRemoteService 10.0.35.124'), ('DecoyHarakaSMPT User2', 'PrivilegeEscalate Op_Server0'), ('DecoyTomcat Enterprise2', 'Impact Op_Server0'), ('DecoySSHD Op_Server0', 'Impact Op_Server0'), ('DecoySmss Op_Host1', 'Impact Op_Server0'), ('DecoyApache User0', 'Impact Op_Server0'), ('DecoyApache User4', 'Impact Op_Server0'), ('DecoySvchost Enterprise0', 'Impact Op_Server0'), ('Analyse User2', 'Impact Op_Server0'), ('DecoySvchost Op_Server0', 'Impact Op_Server0'), ('DecoyHarakaSMPT Op_Host1', 'Impact Op_Server0'), ('DecoyTomcat Op_Host0', 'Impact Op_Server0'), ('Analyse User1', 'Impact Op_Server0'), ('Restore Op_Server0', 'Impact Op_Server0'), ('Analyse Enterprise2', 'PrivilegeEscalate Op_Server0'), ('DecoySvchost Op_Host2', 'ExploitRemoteService 10.0.35.124'), ('Restore User2', 'PrivilegeEscalate Op_Server0'), ('Remove User2', 'Impact Op_Server0')], total reward: -172.79999999999993
actions: [('DecoyVsftpd Enterprise1', 'DiscoverRemoteSystems 10.0.3.240/28'), ('DecoyFemitter Defender', 'DiscoverNetworkServices 10.0.3.250'), ('Remove Op_Host2', 'ExploitRemoteService 10.0.3.250'), ('Restore User3', 'PrivilegeEscalate User3'), ('DecoyHarakaSMPT User1', 'ExploitRemoteService 10.0.3.250'), ('DecoyFemitter User4', 'PrivilegeEscalate User3'), ('DecoySvchost User4', 'DiscoverNetworkServices 10.0.251.136'), ('DecoyHarakaSMPT Op_Host2', 'ExploitRemoteService 10.0.251.136'), ('Analyse Defender', 'PrivilegeEscalate Enterprise0'), ('DecoyFemitter Defender', 'DiscoverRemoteSystems 10.0.251.128/28'), ('Restore Op_Server0', 'DiscoverNetworkServices 10.0.251.131'), ('DecoySvchost User4', 'ExploitRemoteService 10.0.251.131'), ('DecoyHarakaSMPT Enterprise1', 'PrivilegeEscalate Enterprise2'), ('DecoyHarakaSMPT Op_Host1', 'DiscoverNetworkServices 10.0.189.101'), ('DecoyHarakaSMPT Op_Host2', 'ExploitRemoteService 10.0.189.101'), ('DecoyFemitter Enterprise1', 'PrivilegeEscalate Op_Server0'), ('DecoyHarakaSMPT Op_Server0', 'Impact Op_Server0'), ('Analyse Op_Host2', 'Impact Op_Server0'), ('DecoyVsftpd User4', 'Impact Op_Server0'), ('Analyse Op_Host0', 'Impact Op_Server0'), ('DecoySmss Op_Host2', 'Impact Op_Server0'), ('DecoySvchost Enterprise0', 'Impact Op_Server0'), ('DecoySmss User3', 'Impact Op_Server0'), ('DecoySmss Op_Host2', 'Impact Op_Server0'), ('DecoySmss User1', 'Impact Op_Server0'), ('Remove Op_Host1', 'Impact Op_Server0'), ('DecoySSHD User2', 'Impact Op_Server0'), ('DecoyVsftpd Enterprise2', 'Impact Op_Server0'), ('DecoySmss Defender', 'Impact Op_Server0'), ('DecoyTomcat Op_Server0', 'Impact Op_Server0')], total reward: -59.70000000000002
